Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
Q9Y3C6,Q9Y3C6,PPIL1_HUMAN,PPIL1,Peptidyl-prolyl cis-trans isomerase-like 1,PPIL1,Q9Y3C6,Q9Y3C6
Q9Y3C8,Q9Y3C8,UFC1_HUMAN,UFC1,Ubiquitin-fold modifier-conjugating enzyme 1,UFC1,Q9Y3C8,Q9Y3C8
Q9Y3D2,Q9Y3D2,MSRB2_HUMAN,MSRB2,"Methionine-R-sulfoxide reductase B2, mitochondrial",MSRB2,Q9Y3D2,Q9Y3D2
Q9Y3D3;Q9Y3D3-2,Q9Y3D3;Q9Y3D3-2,RT16_HUMAN,MRPS16,"28S ribosomal protein S16, mitochondrial",MRPS16,Q9Y3D3;Q9Y3D3-2,Q9Y3D3;Q9Y3D3-2
Q9Y3D6,Q9Y3D6,FIS1_HUMAN,FIS1,Mitochondrial fission 1 protein,FIS1,Q9Y3D6,Q9Y3D6
Q9Y3D9,Q9Y3D9,RT23_HUMAN,MRPS23,"28S ribosomal protein S23, mitochondrial",MRPS23,Q9Y3D9,Q9Y3D9
Q9Y3E0,Q9Y3E0,GOT1B_HUMAN,GOLT1B,Vesicle transport protein GOT1B,GOLT1B,Q9Y3E0,Q9Y3E0
Q9Y3E1,Q9Y3E1,HDGR3_HUMAN,HDGFL3,Hepatoma-derived growth factor-related protein 3,HDGFL3,Q9Y3E1,Q9Y3E1
Q9Y3E2,Q9Y3E2,BOLA1_HUMAN,BOLA1,BolA-like protein 1,BOLA1,Q9Y3E2,Q9Y3E2
Q9Y3E5,Q9Y3E5,PTH2_HUMAN,PTRH2,"Peptidyl-tRNA hydrolase 2, mitochondrial",PTRH2,Q9Y3E5,Q9Y3E5
Q9Y3E7-3,Q9Y3E7;Q9Y3E7-2;Q9Y3E7-3;Q9Y3E7-4,CHMP3_HUMAN,CHMP3,Isoform 3 of Charged multivesicular body protein 3,CHMP3,Q9Y3E7-3,Q9Y3E7-3
Q9Y3F4;Q9Y3F4-2,Q9Y3F4;Q9Y3F4-2,STRAP_HUMAN,STRAP,Serine-threonine kinase receptor-associated protein,STRAP,Q9Y3F4;Q9Y3F4-2,Q9Y3F4;Q9Y3F4-2
Q9Y3I0,Q9Y3I0,RTCB_HUMAN,RTCB,RNA-splicing ligase RtcB homolog,RTCB,Q9Y3I0,Q9Y3I0
Q9Y3I1;Q9Y3I1-2;Q9Y3I1-3,Q9Y3I1;Q9Y3I1-2;Q9Y3I1-3,FBX7_HUMAN,FBXO7,F-box only protein 7,FBXO7,Q9Y3I1;Q9Y3I1-2;Q9Y3I1-3,Q9Y3I1;Q9Y3I1-2;Q9Y3I1-3
Q9Y3L3,Q6ZT62;Q9Y3L3;Q6ZT62-2;Q9Y3L3-2,3BP1_HUMAN,SH3BP1,SH3 domain-binding protein 1,SH3BP1,Q9Y3L3,Q9Y3L3
Q9Y3L5,Q9Y3L5,RAP2C_HUMAN,RAP2C,Ras-related protein Rap-2c,RAP2C,Q9Y3L5,Q9Y3L5
Q9Y3P8,Q9Y3P8,SIT1_HUMAN,SIT1,Signaling threshold-regulating transmembrane adapter 1,SIT1,Q9Y3P8,Q9Y3P8
Q9Y3P9,Q9Y3P9;Q9Y3P9-2;Q9Y3P9-3,RBGP1_HUMAN,RABGAP1,Rab GTPase-activating protein 1,RABGAP1,Q9Y3P9,Q9Y3P9
Q9Y3Q3,Q9Y3Q3,TMED3_HUMAN,TMED3,Transmembrane emp24 domain-containing protein 3,TMED3,Q9Y3Q3,Q9Y3Q3
Q9Y3Q8,Q9Y3Q8;Q9Y3Q8-2,T22D4_HUMAN,SPACDR,Sperm acrosome developmental regulator,SPACDR,Q9Y3Q8,Q9Y3Q8
Q9Y3R5;Q9Y3R5-2,Q9Y3R5;Q9Y3R5-2,DOP2_HUMAN,DOP1B,Protein dopey-2,DOP1B,Q9Y3R5;Q9Y3R5-2,Q9Y3R5;Q9Y3R5-2
Q9Y3S1-2,Q9Y3S1;Q9Y3S1-2;Q9Y3S1-4,WNK2_HUMAN,WNK2,Isoform 2 of Serine/threonine-protein kinase WNK2,WNK2,Q9Y3S1-2,Q9Y3S1-2
Q9Y3T9,Q9Y3T9,NOC2L_HUMAN,NOC2L,Nucleolar complex protein 2 homolog,NOC2L,Q9Y3T9,Q9Y3T9
Q9Y3U8,Q9Y3U8,RL36_HUMAN,RPL36,60S ribosomal protein L36,RPL36,Q9Y3U8,Q9Y3U8
Q9Y3X0,Q9Y3X0,CCDC9_HUMAN,CCDC9,Coiled-coil domain-containing protein 9,CCDC9,Q9Y3X0,Q9Y3X0
Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4,Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4,CHTOP_HUMAN,CHTOP,Chromatin target of PRMT1 protein,CHTOP,Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4,Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4
Q9Y3Z3,Q9Y3Z3;Q9Y3Z3-3;Q9Y3Z3-4,SAMH1_HUMAN,SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,SAMHD1,Q9Y3Z3,Q9Y3Z3
Q9Y446;Q9Y446-2,Q9Y446;Q9Y446-2,PKP3_HUMAN,PKP3,Plakophilin-3,PKP3,Q9Y446;Q9Y446-2,Q9Y446;Q9Y446-2
Q9Y450;Q9Y450-4,Q9Y450;Q9Y450-4,HBS1L_HUMAN,HBS1L,HBS1-like protein,HBS1L,Q9Y450;Q9Y450-4,Q9Y450;Q9Y450-4
Q9Y478,Q9Y478,AAKB1_HUMAN,PRKAB1,5'-AMP-activated protein kinase subunit beta-1,PRKAB1,Q9Y478,Q9Y478
Q9Y490,Q9Y490,TLN1_HUMAN,TLN1,Talin-1,TLN1,Q9Y490,Q9Y490
Q9Y496,Q9Y496,KIF3A_HUMAN,KIF3A,Kinesin-like protein KIF3A,KIF3A,Q9Y496,Q9Y496
Q9Y4A5;Q9Y4A5-2,Q9Y4A5;Q9Y4A5-2,TRRAP_HUMAN,TRRAP,Transformation/transcription domain-associated protein,TRRAP,Q9Y4A5;Q9Y4A5-2,Q9Y4A5;Q9Y4A5-2
Q9Y4B6;Q9Y4B6-2,Q9Y4B6;Q9Y4B6-3;Q9Y4B6-2,DCAF1_HUMAN,DCAF1,DDB1- and CUL4-associated factor 1,DCAF1,Q9Y4B6;Q9Y4B6-2,Q9Y4B6;Q9Y4B6-2
Q9Y4C8,Q9Y4C8,RBM19_HUMAN,RBM19,Probable RNA-binding protein 19,RBM19,Q9Y4C8,Q9Y4C8
Q9Y4D1;Q9Y4D1-2,Q9Y4D1;Q9Y4D1-2;Q9Y4D1-3,DAAM1_HUMAN,DAAM1,Disheveled-associated activator of morphogenesis 1,DAAM1,Q9Y4D1;Q9Y4D1-2,Q9Y4D1;Q9Y4D1-2
Q9Y4D7,Q9Y4D7;Q9Y4D7-2,PLXD1_HUMAN,PLXND1,Plexin-D1,PLXND1,Q9Y4D7,Q9Y4D7
Q9Y4D8-5,Q9Y4D8-5,HECD4_HUMAN,HECTD4,Isoform 5 of Probable E3 ubiquitin-protein ligase HECTD4,HECTD4,Q9Y4D8-5,Q9Y4D8-5
Q9Y4D8;Q9Y4D8-4,Q9Y4D8;Q9Y4D8-4,HECD4_HUMAN,HECTD4,Probable E3 ubiquitin-protein ligase HECTD4,HECTD4.1,Q9Y4D8;Q9Y4D8-4,Q9Y4D8;Q9Y4D8-4
Q9Y4E1;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-4;Q9Y4E1-6,Q641Q2;Q9Y4E1;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-4;Q9Y4E1-5;Q9Y4E1-6;Q641Q2-2,WAC2C_HUMAN,WASHC2C,WASH complex subunit 2C,WASHC2C,Q9Y4E1;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-4;Q9Y4E1-6,Q9Y4E1;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-4;Q9Y4E1-6
