Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
O14558,O14558,HSPB6_HUMAN,HSPB6,Heat shock protein beta-6,HSPB6,O14558,O14558
O14562,O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,UBFD1,O14562,O14562
O14579,O14579;O14579-2,COPE_HUMAN,COPE,Coatomer subunit epsilon,COPE,O14579,O14579
O14602;P47813,P47813;O14602,IF1AX_HUMAN;IF1AY_HUMAN,EIF1AX;EIF1AY,"Eukaryotic translation initiation factor 1A, Y-chromosomal",EIF1AX;EIF1AY,O14602;P47813,O14602;P47813
O14617;O14617-2;O14617-3;O14617-5,O14617;O14617-2;O14617-3;O14617-4;O14617-5,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,AP3D1,O14617;O14617-2;O14617-3;O14617-5,O14617;O14617-2;O14617-3;O14617-5
O14618,O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,CCS,O14618,O14618
O14639;O14639-2;O14639-3;O14639-5;O14639-6,O14639;O14639-4;O14639-2;O14639-3;O14639-5;O14639-6,ABLM1_HUMAN,ABLIM1,Actin-binding LIM protein 1,ABLIM1,O14639;O14639-2;O14639-3;O14639-5;O14639-6,O14639;O14639-2;O14639-3;O14639-5;O14639-6
O14640-2,O14640;P54792;P54792-2;O14640-2,DVL1_HUMAN,DVL1,Isoform 2 of Segment polarity protein dishevelled homolog DVL-1,DVL1,O14640-2,O14640-2
O14646;O14646-2,O14646;O14646-2,CHD1_HUMAN,CHD1,Chromodomain-helicase-DNA-binding protein 1,CHD1,O14646;O14646-2,O14646;O14646-2
O14647;O14647-2,O14647;O14647-2,CHD2_HUMAN,CHD2,Chromodomain-helicase-DNA-binding protein 2,CHD2,O14647;O14647-2,O14647;O14647-2
O14653;O14653-2;O14653-3,O14653;O14653-2;O14653-3,GOSR2_HUMAN,GOSR2,Golgi SNAP receptor complex member 2,GOSR2,O14653;O14653-2;O14653-3,O14653;O14653-2;O14653-3
O14656,O14656,TOR1A_HUMAN,TOR1A,Torsin-1A,TOR1A,O14656,O14656
O14662,O14662,STX16_HUMAN,STX16,Syntaxin-16,STX16,O14662,O14662
O14662-3;O14662-4,O14662-3;O14662-4,STX16_HUMAN,STX16,Isoform C of Syntaxin-16,STX16.1,O14662-3;O14662-4,O14662-3;O14662-4
O14672,O14672;O14672-2,ADA10_HUMAN,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10,O14672,O14672
O14683,O14683,P5I11_HUMAN,TP53I11,Tumor protein p53-inducible protein 11,TP53I11,O14683,O14683
O14684,O14684,PTGES_HUMAN,PTGES,Prostaglandin E synthase,PTGES,O14684,O14684
O14686;O14686-3,O14686;O14686-3,KMT2D_HUMAN,KMT2D,Histone-lysine N-methyltransferase 2D,KMT2D,O14686;O14686-3,O14686;O14686-3
O14735;O14735-3,O14735;O14735-3,CDIPT_HUMAN,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT,O14735;O14735-3,O14735;O14735-3
O14737,O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,PDCD5,O14737,O14737
O14744;O14744-2,O14744;O14744-2;O14744-3;O14744-4;O14744-5,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,PRMT5,O14744;O14744-2,O14744;O14744-2
O14745,O14745;O14745-2,NHRF1_HUMAN,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,NHERF1,O14745,O14745
O14773,O14773,TPP1_HUMAN,TPP1,Tripeptidyl-peptidase 1,TPP1,O14773,O14773
O14776;O14776-2,O14776;O14776-2,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,TCERG1,O14776;O14776-2,O14776;O14776-2
O14786;O14786-2;O14786-3,O14786;O14786-2;O14786-3,NRP1_HUMAN,NRP1,Neuropilin-1,NRP1,O14786;O14786-2;O14786-3,O14786;O14786-2;O14786-3
O14787-2,O14787;O14787-2,TNPO2_HUMAN,TNPO2,Isoform 2 of Transportin-2,TNPO2,O14787-2,O14787-2
O14791;O14791-2;O14791-3,O14791;O14791-2;O14791-3,APOL1_HUMAN,APOL1,Apolipoprotein L1,APOL1,O14791;O14791-2;O14791-3,O14791;O14791-2;O14791-3
O14802,O14802,RPC1_HUMAN,POLR3A,DNA-directed RNA polymerase III subunit RPC1,POLR3A,O14802,O14802
O14818,O14818;O14818-2,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,PSMA7,O14818,O14818
O14828,O14828;O14828-2,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,SCAMP3,O14828,O14828
O14841,O14841,OPLA_HUMAN,OPLAH,5-oxoprolinase,OPLAH,O14841,O14841
O14862,O14862,AIM2_HUMAN,AIM2,Interferon-inducible protein AIM2,AIM2,O14862,O14862
O14874;O14874-2;O14874-3,O14874;O14874-2;O14874-3,BCKD_HUMAN,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BCKDK,O14874;O14874-2;O14874-3,O14874;O14874-2;O14874-3
O14879,O14879,IFIT3_HUMAN,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3,O14879,O14879
O14896,O14896;O14896-2,IRF6_HUMAN,IRF6,Interferon regulatory factor 6,IRF6,O14896,O14896
O14907,O14907,TX1B3_HUMAN,TAX1BP3,Tax1-binding protein 3,TAX1BP3,O14907,O14907
O14908,O14908;O14908-2;Q8TF64,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,GIPC1,O14908,O14908
O14920,O14920;O14920-2;O14920-4,IKKB_HUMAN,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB,O14920,O14920
O14924;O14924-4,O14924;O14924-5;O14924-2;O14924-3;O14924-4;O14924-6;O14924-7,RGS12_HUMAN,RGS12,Regulator of G-protein signaling 12,RGS12,O14924;O14924-4,O14924;O14924-4
O14929-2,O14929;O14929-2,HAT1_HUMAN,HAT1,Isoform B of Histone acetyltransferase type B catalytic subunit,HAT1,O14929-2,O14929-2
O14933,O14933,UB2L6_HUMAN,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,UBE2L6,O14933,O14933
O14936;O14936-2;O14936-3;O14936-4;O14936-6,O14936;O14936-4;O14936-2;O14936-3;O14936-5;O14936-6,CSKP_HUMAN,CASK,Peripheral plasma membrane protein CASK,CASK,O14936;O14936-2;O14936-3;O14936-4;O14936-6,O14936;O14936-2;O14936-3;O14936-4;O14936-6
O14939;O14939-4,O14939;O14939-4,PLD2_HUMAN,PLD2,Phospholipase D2,PLD2,O14939;O14939-4,O14939;O14939-4
O14949,O14949,QCR8_HUMAN,UQCRQ,Cytochrome b-c1 complex subunit 8,UQCRQ,O14949,O14949
O14950;P19105,O14950;P19105,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,Myosin regulatory light chain 12B,MYL12A;MYL12B,O14950;P19105,O14950;P19105
O14964,O14964;O14964-2,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,O14964,O14964
O14967,O14967;O14967-2,CLGN_HUMAN,CLGN,Calmegin,CLGN,O14967,O14967
O14974-2,O14974;O14974-2;O14974-5,MYPT1_HUMAN,PPP1R12A,Isoform 2 of Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,O14974-2,O14974-2
O14974-4,O14974;O14974-2;O14974-3;O14974-4;O14974-5,MYPT1_HUMAN,PPP1R12A,Isoform 4 of Protein phosphatase 1 regulatory subunit 12A,PPP1R12A.1,O14974-4,O14974-4
O14976;O14976-2,O14976;O14976-2,GAK_HUMAN,GAK,Cyclin-G-associated kinase,GAK,O14976;O14976-2,O14976;O14976-2
O14979,O14979;O14979-2;O14979-3,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,O14979,O14979
O14980,O14980,XPO1_HUMAN,XPO1,Exportin-1,XPO1,O14980,O14980
O14981,O14981;O14981-2,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,BTAF1,O14981,O14981
O15013;O15013-4;O15013-5;O15013-6;O15013-7,O15013;O15013-4;O15013-5;O15013-6;O15013-7,ARHGA_HUMAN,ARHGEF10,Rho guanine nucleotide exchange factor 10,ARHGEF10,O15013;O15013-4;O15013-5;O15013-6;O15013-7,O15013;O15013-4;O15013-5;O15013-6;O15013-7
O15020,O15020;O15020-2,SPTN2_HUMAN,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",SPTBN2,O15020,O15020
O15021,O15021;O15021-4,MAST4_HUMAN,MAST4,Microtubule-associated serine/threonine-protein kinase 4,MAST4,O15021,O15021
O15027;O15027-2;O15027-3;O15027-4;O15027-5,O15027;O15027-2;O15027-3;O15027-4;O15027-5,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,SEC16A,O15027;O15027-2;O15027-3;O15027-4;O15027-5,O15027;O15027-2;O15027-3;O15027-4;O15027-5
O15031,O15031,PLXB2_HUMAN,PLXNB2,Plexin-B2,PLXNB2,O15031,O15031
O15037,O15037,KHNYN_HUMAN,KHNYN,Protein KHNYN,KHNYN,O15037,O15037
O15042;O15042-2,O15042;O15042-2;O15042-3,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,U2SURP,O15042;O15042-2,O15042;O15042-2
O15047,O15047,SET1A_HUMAN,SETD1A,Histone-lysine N-methyltransferase SETD1A,SETD1A,O15047,O15047
O15050,O15050,TRNK1_HUMAN,TRANK1,TPR and ankyrin repeat-containing protein 1,TRANK1,O15050,O15050
O15056,O15056;O15056-2,SYNJ2_HUMAN,SYNJ2,Synaptojanin-2,SYNJ2,O15056,O15056
O15061,O15061;O15061-2,SYNEM_HUMAN,SYNM,Synemin,SYNM,O15061,O15061
O15066,O15066,KIF3B_HUMAN,KIF3B,Kinesin-like protein KIF3B,KIF3B,O15066,O15066
O15067,O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,PFAS,O15067,O15067
O15075;O15075-2,O15075;O15075-2,DCLK1_HUMAN,DCLK1,Serine/threonine-protein kinase DCLK1,DCLK1,O15075;O15075-2,O15075;O15075-2
O15084;O15084-1;O15084-4,O15084;O15084-1;O15084-2;O15084-4,ANR28_HUMAN,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,O15084;O15084-1;O15084-4,O15084;O15084-1;O15084-4
O15085;O15085-2,O15085;O15085-2,ARHGB_HUMAN,ARHGEF11,Rho guanine nucleotide exchange factor 11,ARHGEF11,O15085;O15085-2,O15085;O15085-2
O15116,O15116,LSM1_HUMAN,LSM1,U6 snRNA-associated Sm-like protein LSm1,LSM1,O15116,O15116
O15117;O15117-2;O15117-3,O15117;O15117-2;O15117-3,FYB1_HUMAN,FYB1,FYN-binding protein 1,FYB1,O15117;O15117-2;O15117-3,O15117;O15117-2;O15117-3
O15120,O15120,PLCB_HUMAN,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,AGPAT2,O15120,O15120
O15121,O15121,DEGS1_HUMAN,DEGS1,Sphingolipid delta(4)-desaturase DES1,DEGS1,O15121,O15121
O15126,O15126;O15126-2,SCAM1_HUMAN,SCAMP1,Secretory carrier-associated membrane protein 1,SCAMP1,O15126,O15126
O15127,O15127,SCAM2_HUMAN,SCAMP2,Secretory carrier-associated membrane protein 2,SCAMP2,O15127,O15127
O15143,O15143,ARC1B_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B,ARPC1B,O15143,O15143
O15144,O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,ARPC2,O15144,O15144
O15145,O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,ARPC3,O15145,O15145
O15155;O15155-2,O15155;O15155-2,BET1_HUMAN,BET1,BET1 homolog,BET1,O15155;O15155-2,O15155;O15155-2
O15160;O15160-2,O15160;O15160-2,RPAC1_HUMAN,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C,O15160;O15160-2,O15160;O15160-2
O15164;O15164-2,O15164;O15164-2,TIF1A_HUMAN,TRIM24,Transcription intermediary factor 1-alpha,TRIM24,O15164;O15164-2,O15164;O15164-2
O15173;O15173-2,O15173;O15173-2,PGRC2_HUMAN,PGRMC2,Membrane-associated progesterone receptor component 2,PGRMC2,O15173;O15173-2,O15173;O15173-2
O15198;O15198-2;P84022;P84022-2;P84022-3;Q15796;Q15796-2,O15198;P84022;Q15796;O15198-2;P84022-2;P84022-3;Q15796-2,SMAD2_HUMAN;SMAD3_HUMAN;SMAD9_HUMAN,SMAD2;SMAD3;SMAD9,Mothers against decapentaplegic homolog 9,SMAD2;SMAD3;SMAD9,O15198;O15198-2;P84022;P84022-2;P84022-3;Q15796;Q15796-2,O15198;O15198-2;P84022;P84022-2;P84022-3;Q15796;Q15796-2
O15211,O15211,RGL2_HUMAN,RGL2,Ral guanine nucleotide dissociation stimulator-like 2,RGL2,O15211,O15211
O15212,O15212,PFD6_HUMAN,PFDN6,Prefoldin subunit 6,PFDN6,O15212,O15212
O15213,O15213,WDR46_HUMAN,WDR46,WD repeat-containing protein 46,WDR46,O15213,O15213
O15226;O15226-2,O15226;O15226-2,NKRF_HUMAN,NKRF,NF-kappa-B-repressing factor,NKRF,O15226;O15226-2,O15226;O15226-2
O15230,O15230,LAMA5_HUMAN,LAMA5,Laminin subunit alpha-5,LAMA5,O15230,O15230
O15231,O15231;O15231-2;O15231-3;O15231-4;O15231-5;O15231-6;O15231-7;O15231-8;O15231-9,ZN185_HUMAN,ZNF185,Zinc finger protein 185,ZNF185,O15231,O15231
O15231-2,O15231-2;O15231-3,ZN185_HUMAN,ZNF185,Isoform 2 of Zinc finger protein 185,ZNF185.1,O15231-2,O15231-2
O15232;O15232-2,O15232;O15232-2,MATN3_HUMAN,MATN3,Matrilin-3,MATN3,O15232;O15232-2,O15232;O15232-2
O15234,O15234,CASC3_HUMAN,CASC3,Protein CASC3,CASC3,O15234,O15234
O15240,O15240,VGF_HUMAN,VGF,Neurosecretory protein VGF,VGF,O15240,O15240
O15247,O15247,CLIC2_HUMAN,CLIC2,Chloride intracellular channel protein 2,CLIC2,O15247,O15247
O15260;O15260-2,O15260;O15260-2,SURF4_HUMAN,SURF4,Surfeit locus protein 4,SURF4,O15260;O15260-2,O15260;O15260-2
O15264,O15264,MK13_HUMAN,MAPK13,Mitogen-activated protein kinase 13,MAPK13,O15264,O15264
O15269,O15269,SPTC1_HUMAN,SPTLC1,Serine palmitoyltransferase 1,SPTLC1,O15269,O15269
O15270,O15270,SPTC2_HUMAN,SPTLC2,Serine palmitoyltransferase 2,SPTLC2,O15270,O15270
O15294,O15294;O15294-3,OGT1_HUMAN,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,O15294,O15294
O15296,O15296;O15296-2;O15296-3;O15296-4,LX15B_HUMAN,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B,ALOX15B,O15296,O15296
O15305,O15305;O15305-2,PMM2_HUMAN,PMM2,Phosphomannomutase 2,PMM2,O15305,O15305
O15321;O15321-2,O15321;O15321-2,TM9S1_HUMAN,TM9SF1,Transmembrane 9 superfamily member 1,TM9SF1,O15321;O15321-2,O15321;O15321-2
O15327,O15327,INP4B_HUMAN,INPP4B,Inositol polyphosphate 4-phosphatase type II,INPP4B,O15327,O15327
O15335,O15335,CHAD_HUMAN,CHAD,Chondroadherin,CHAD,O15335,O15335
O15347,O15347,HMGB3_HUMAN,HMGB3,High mobility group protein B3,HMGB3,O15347,O15347
O15355,O15355,PPM1G_HUMAN,PPM1G,Protein phosphatase 1G,PPM1G,O15355,O15355
O15357,O15357;O15357-2,SHIP2_HUMAN,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",INPPL1,O15357,O15357
O15371;O15371-2;O15371-3,O15371;O15371-2;O15371-3,EIF3D_HUMAN,EIF3D,Eukaryotic translation initiation factor 3 subunit D,EIF3D,O15371;O15371-2;O15371-3,O15371;O15371-2;O15371-3
O15372,O15372,EIF3H_HUMAN,EIF3H,Eukaryotic translation initiation factor 3 subunit H,EIF3H,O15372,O15372
O15379;O15379-2,O15379;O15379-2,HDAC3_HUMAN,HDAC3,Histone deacetylase 3,HDAC3,O15379;O15379-2,O15379;O15379-2
O15381;O15381-5,O15381;O15381-5,NVL_HUMAN,NVL,Nuclear valosin-containing protein-like,NVL,O15381;O15381-5,O15381;O15381-5
O15382,O15382;O15382-2,BCAT2_HUMAN,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,O15382,O15382
O15391,O15391,TYY2_HUMAN,YY2,Transcription factor YY2,YY2,O15391,O15391
O15394,O15394;O15394-2,NCAM2_HUMAN,NCAM2,Neural cell adhesion molecule 2,NCAM2,O15394,O15394
O15397,O15397,IPO8_HUMAN,IPO8,Importin-8,IPO8,O15397,O15397
O15400;O15400-2,O15400;O15400-2,STX7_HUMAN,STX7,Syntaxin-7,STX7,O15400;O15400-2,O15400;O15400-2
O15427,O15427,MOT4_HUMAN,SLC16A3,Monocarboxylate transporter 4,SLC16A3,O15427,O15427
O15460;O15460-2,O15460;O15460-2,P4HA2_HUMAN,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,O15460;O15460-2,O15460;O15460-2
O15498,O15498;O15498-2,YKT6_HUMAN,YKT6,Synaptobrevin homolog YKT6,YKT6,O15498,O15498
O15504,O15504;O15504-2,NUP42_HUMAN,NUP42,Nucleoporin NUP42,NUP42,O15504,O15504
O15511,O15511,ARPC5_HUMAN,ARPC5,Actin-related protein 2/3 complex subunit 5,ARPC5,O15511,O15511
O15514,O15514,RPB4_HUMAN,POLR2D,DNA-directed RNA polymerase II subunit RPB4,POLR2D,O15514,O15514
O15530;O15530-3;O15530-4,O15530;O15530-2;O15530-3;O15530-4,PDPK1_HUMAN,PDPK1,3-phosphoinositide-dependent protein kinase 1,PDPK1,O15530;O15530-3;O15530-4,O15530;O15530-3;O15530-4
O15533;O15533-2;O15533-3,O15533;O15533-2;O15533-3;O15533-4,TPSN_HUMAN,TAPBP,Tapasin,TAPBP,O15533;O15533-2;O15533-3,O15533;O15533-2;O15533-3
O15540;O15540-2,O15540;O15540-2,FABP7_HUMAN,FABP7,"Fatty acid-binding protein, brain",FABP7,O15540;O15540-2,O15540;O15540-2
O15541,O15541,R113A_HUMAN,RNF113A,E3 ubiquitin-protein ligase RNF113A,RNF113A,O15541,O15541
O15550,O14607;O15550;O14607-2;O14607-3;O14607-4;O14607-5,KDM6A_HUMAN,KDM6A,Lysine-specific demethylase 6A,KDM6A,O15550,O15550
O15551,O15551,CLD3_HUMAN,CLDN3,Claudin-3,CLDN3,O15551,O15551
O43143,O43143;O60231;Q14562,DHX15_HUMAN,DHX15,ATP-dependent RNA helicase DHX15,DHX15,O43143,O43143
O43148-2,O43148;O43148-2,MCES_HUMAN,RNMT,Isoform 2 of mRNA cap guanine-N7 methyltransferase,RNMT,O43148-2,O43148-2
O43149,O43149,ZZEF1_HUMAN,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,ZZEF1,O43149,O43149
O43159,O43159,RRP8_HUMAN,RRP8,Ribosomal RNA-processing protein 8,RRP8,O43159,O43159
O43164;O43164-2,O43164;O43164-2,PJA2_HUMAN,PJA2,E3 ubiquitin-protein ligase Praja-2,PJA2,O43164;O43164-2,O43164;O43164-2
O43169,O43169,CYB5B_HUMAN,CYB5B,Cytochrome b5 type B,CYB5B,O43169,O43169
O43172;O43172-2,O43172;O43172-2,PRP4_HUMAN,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,PRPF4,O43172;O43172-2,O43172;O43172-2
O43175,O43175,SERA_HUMAN,PHGDH,D-3-phosphoglycerate dehydrogenase,PHGDH,O43175,O43175
O43181,O43181,NDUS4_HUMAN,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUFS4,O43181,O43181
O43182;O43182-2;O43182-4;O43182-5,O43182;O43182-2;O43182-4;O43182-5,RHG06_HUMAN,ARHGAP6,Rho GTPase-activating protein 6,ARHGAP6,O43182;O43182-2;O43182-4;O43182-5,O43182;O43182-2;O43182-4;O43182-5
O43189,O43189;O43189-2,PHF1_HUMAN,PHF1,PHD finger protein 1,PHF1,O43189,O43189
O43194,O43194,GPR39_HUMAN,GPR39,G-protein coupled receptor 39,GPR39,O43194,O43194
O43236-7,O43236;O43236-6;O43236-2;O43236-3;O43236-4;O43236-5;O43236-7,SEPT4_HUMAN,SEPTIN4,Isoform 7 of Septin-4,SEPTIN4,O43236-7,O43236-7
O43237,O43237;O43237-2,DC1L2_HUMAN,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,DYNC1LI2,O43237,O43237
O43242,O43242;O43242-2,PSMD3_HUMAN,PSMD3,26S proteasome non-ATPase regulatory subunit 3,PSMD3,O43242,O43242
O43251;O43251-10;O43251-2;O43251-5;O43251-6;O43251-8,O43251;O43251-10;O43251-2;O43251-3;O43251-5;O43251-6;O43251-8,RFOX2_HUMAN,RBFOX2,RNA binding protein fox-1 homolog 2,RBFOX2,O43251;O43251-10;O43251-2;O43251-5;O43251-6;O43251-8,O43251;O43251-10;O43251-2;O43251-5;O43251-6;O43251-8
O43252,O43252,PAPS1_HUMAN,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,PAPSS1,O43252,O43252
O43264,O43264;O43264-2,ZW10_HUMAN,ZW10,Centromere/kinetochore protein zw10 homolog,ZW10,O43264,O43264
O43272,O43272;O43272-1;O43272-2,PROD_HUMAN,PRODH,"Proline dehydrogenase 1, mitochondrial",PRODH,O43272,O43272
O43278;O43278-2,O43278;O43278-2,SPIT1_HUMAN,SPINT1,Kunitz-type protease inhibitor 1,SPINT1,O43278;O43278-2,O43278;O43278-2
O43281,O43281;O43281-2;O43281-3,EFS_HUMAN,EFS,Embryonal Fyn-associated substrate,EFS,O43281,O43281
O43290,O43290,SNUT1_HUMAN,SART1,U4/U6.U5 tri-snRNP-associated protein 1,SART1,O43290,O43290
O43292,O43292;O43292-2,GPAA1_HUMAN,GPAA1,Glycosylphosphatidylinositol anchor attachment 1 protein,GPAA1,O43292,O43292
O43293,O43293,DAPK3_HUMAN,DAPK3,Death-associated protein kinase 3,DAPK3,O43293,O43293
O43294;O43294-2,O43294;O43294-2,TGFI1_HUMAN,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein,TGFB1I1,O43294;O43294-2,O43294;O43294-2
O43299,O43299;O43299-2;O43299-3,AP5Z1_HUMAN,AP5Z1,AP-5 complex subunit zeta-1,AP5Z1,O43299,O43299
O43301,O43301,HS12A_HUMAN,HSPA12A,Heat shock 70 kDa protein 12A,HSPA12A,O43301,O43301
O43314;O43314-2,O43314;Q6PFW1;Q6PFW1-2;Q6PFW1-3;Q6PFW1-4;Q6PFW1-5;Q6PFW1-6;Q6PFW1-7;O43314-2,VIP2_HUMAN,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,PPIP5K2,O43314;O43314-2,O43314;O43314-2
O43324,O43324;O43324-2,MCA3_HUMAN,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1,O43324,O43324
O43353;O43353-2,O43353;O43353-2,RIPK2_HUMAN,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,O43353;O43353-2,O43353;O43353-2
O43390,O43390;O43390-2;O43390-4,HNRPR_HUMAN,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,O43390,O43390
O43390-4,O43390-2;O43390-4,HNRPR_HUMAN,HNRNPR,Isoform 4 of Heterogeneous nuclear ribonucleoprotein R,HNRNPR.1,O43390-4,O43390-4
O43395,O43395,PRPF3_HUMAN,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,PRPF3,O43395,O43395
O43396,O43396,TXNL1_HUMAN,TXNL1,Thioredoxin-like protein 1,TXNL1,O43396,O43396
O43399;O43399-5;O43399-7,O43399;O43399-2;O43399-3;O43399-4;O43399-5;O43399-6;O43399-7,TPD54_HUMAN,TPD52L2,Tumor protein D54,TPD52L2,O43399;O43399-5;O43399-7,O43399;O43399-5;O43399-7
O43402,O43402,EMC8_HUMAN,EMC8,ER membrane protein complex subunit 8,EMC8,O43402,O43402
O43426,O43426;O43426-2;O43426-4,SYNJ1_HUMAN,SYNJ1,Synaptojanin-1,SYNJ1,O43426,O43426
O43427;O43427-2,O43427;O43427-2,FIBP_HUMAN,FIBP,Acidic fibroblast growth factor intracellular-binding protein,FIBP,O43427;O43427-2,O43427;O43427-2
O43432;O43432-3,O43432;O43432-3;O43432-4,IF4G3_HUMAN,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,EIF4G3,O43432;O43432-3,O43432;O43432-3
O43435-3,O43435-3,TBX1_HUMAN,TBX1,Isoform C of T-box transcription factor TBX1,TBX1,O43435-3,O43435-3
O43447,O43447;O43447-2,PPIH_HUMAN,PPIH,Peptidyl-prolyl cis-trans isomerase H,PPIH,O43447,O43447
O43464;O43464-3,O43464;P83110;O43464-2;O43464-3;P83110-2,HTRA2_HUMAN,HTRA2,"Serine protease HTRA2, mitochondrial",HTRA2,O43464;O43464-3,O43464;O43464-3
O43488,O43488,ARK72_HUMAN,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,AKR7A2,O43488,O43488
O43490;O43490-2;O43490-3;O43490-4;O43490-5;O43490-6;O43490-7,O43490;O43490-2;O43490-3;O43490-4;O43490-5;O43490-6;O43490-7,PROM1_HUMAN,PROM1,Prominin-1,PROM1,O43490;O43490-2;O43490-3;O43490-4;O43490-5;O43490-6;O43490-7,O43490;O43490-2;O43490-3;O43490-4;O43490-5;O43490-6;O43490-7
O43491,O43491,E41L2_HUMAN,EPB41L2,Band 4.1-like protein 2,EPB41L2,O43491,O43491
O43491-4,O43491;O43491-2;O43491-3;O43491-4,E41L2_HUMAN,EPB41L2,Isoform 4 of Band 4.1-like protein 2,EPB41L2.1,O43491-4,O43491-4
O43493;O43493-3;O43493-5;O43493-7,O43493;O43493-3;O43493-5;O43493-7,TGON2_HUMAN,TGOLN2,Trans-Golgi network integral membrane protein 2,TGOLN2,O43493;O43493-3;O43493-5;O43493-7,O43493;O43493-3;O43493-5;O43493-7
O43505,O43505,B4GA1_HUMAN,B4GAT1,"Beta-1,4-glucuronyltransferase 1",B4GAT1,O43505,O43505
O43516;O43516-3,O43516;O43516-4;O43516-2;O43516-3,WIPF1_HUMAN,WIPF1,WAS/WASL-interacting protein family member 1,WIPF1,O43516;O43516-3,O43516;O43516-3
O43520,O43520,AT8B1_HUMAN,ATP8B1,Phospholipid-transporting ATPase IC,ATP8B1,O43520,O43520
O43524,O43524;O43524-2,FOXO3_HUMAN,FOXO3,Forkhead box protein O3,FOXO3,O43524,O43524
O43556;O43556-3;O43556-4,O43556;O43556-3;O43556-4,SGCE_HUMAN,SGCE,Epsilon-sarcoglycan,SGCE,O43556;O43556-3;O43556-4,O43556;O43556-3;O43556-4
O43561;O43561-2;O43561-3;O43561-4;O43561-5,O43561;O43561-2;O43561-3;O43561-4;O43561-5,LAT_HUMAN,LAT,Linker for activation of T-cells family member 1,LAT,O43561;O43561-2;O43561-3;O43561-4;O43561-5,O43561;O43561-2;O43561-3;O43561-4;O43561-5
O43566,O43566,RGS14_HUMAN,RGS14,Regulator of G-protein signaling 14,RGS14,O43566,O43566
O43570;O43570-2,O43570;O43570-2,CAH12_HUMAN,CA12,Carbonic anhydrase 12,CA12,O43570;O43570-2,O43570;O43570-2
